"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"354,980","351,980","355,090","353,770",1300,0.37%,2025/12/16,1404/09/25
"354,090","354,020","358,760","355,070",1890,0.54%,2025/12/15,1404/09/24
"350,110","347,220","353,390","353,180",1990,0.57%,2025/12/14,1404/09/23
"342,220","342,050","351,550","351,190",8730,2.55%,2025/12/13,1404/09/22
"339,680","337,410","342,690","342,460",2110,0.62%,2025/12/11,1404/09/20
"340,520","338,090","340,790","340,350",150,0.04%,2025/12/10,1404/09/19
"343,170","338,640","345,010","340,200",3860,1.13%,2025/12/09,1404/09/18
"337,910","337,820","344,060","344,060",6440,1.91%,2025/12/08,1404/09/17
"332,520","332,520","337,660","337,620",5440,1.64%,2025/12/07,1404/09/16
"326,000","325,980","332,760","332,180",6140,1.88%,2025/12/06,1404/09/15
"327,740","325,560","328,530","326,040",1930,0.59%,2025/12/04,1404/09/13
"324,270","324,200","329,350","327,970",4650,1.44%,2025/12/03,1404/09/12
"324,450","320,930","324,450","323,320",740,0.23%,2025/12/02,1404/09/11
"320,480","320,390","325,130","324,060",4410,1.38%,2025/12/01,1404/09/10
"315,660","315,640","319,690","319,650",4240,1.34%,2025/11/30,1404/09/09
"310,340","310,330","315,470","315,410",4510,1.45%,2025/11/29,1404/09/08
"309,420","309,360","311,640","310,900",1460,0.47%,2025/11/27,1404/09/06
"308,960","308,270","310,280","309,440",500,0.16%,2025/11/26,1404/09/05
"308,610","307,180","310,010","308,940",770,0.25%,2025/11/25,1404/09/04
"307,030","306,520","309,890","309,710",2280,0.74%,2025/11/23,1404/09/02
"309,060","307,060","309,080","307,430",1760,0.57%,2025/11/22,1404/09/01
"309,150","308,540","310,960","309,190",270,0.09%,2025/11/20,1404/08/29
"306,930","304,450","309,060","308,920",2420,0.79%,2025/11/19,1404/08/28
"306,360","305,680","307,420","306,500",60,0.02%,2025/11/18,1404/08/27
"306,060","305,540","306,880","306,440",950,0.31%,2025/11/17,1404/08/26
